Date	Time	Severity	PID	TID	Function	Message
23-04-2025	19:31:00.151	 INFO	 91148	104680	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
23-04-2025	19:31:00.154	 INFO	 91148	 97140	LateInitialization	"Intialization..."
23-04-2025	19:31:00.155	 INFO	 91148	 97140	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
23-04-2025	19:31:00.156	 INFO	 91148	 97140	LateInitialization	"IsExplorer = 0"
23-04-2025	19:31:00.157	 INFO	 91148	 97140	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
23-04-2025	19:31:00.159	 INFO	 91148	 97140	LateInitialization	"Intialization finished"
28-04-2025	20:47:33.529	 INFO	 13628	 19820	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
28-04-2025	20:47:33.531	 INFO	 13628	 19824	LateInitialization	"Intialization..."
28-04-2025	20:47:33.532	 INFO	 13628	 19824	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
28-04-2025	20:47:33.533	 INFO	 13628	 19824	LateInitialization	"IsExplorer = 0"
28-04-2025	20:47:33.534	 INFO	 13628	 19824	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
28-04-2025	20:47:33.537	 INFO	 13628	 19824	LateInitialization	"Intialization finished"
29-04-2025	17:24:48.370	 INFO	 26856	 21652	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
29-04-2025	17:24:48.374	 INFO	 26856	 28080	LateInitialization	"Intialization..."
29-04-2025	17:24:48.375	 INFO	 26856	 28080	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
29-04-2025	17:24:48.376	 INFO	 26856	 28080	LateInitialization	"IsExplorer = 0"
29-04-2025	17:24:48.378	 INFO	 26856	 28080	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
29-04-2025	17:24:48.380	 INFO	 26856	 28080	LateInitialization	"Intialization finished"
